id,text,label
1,I absolutely loved this movie! The acting was brilliant and the story was engaging.,positive
2,The film was too long and boring. I almost fell asleep halfway through.,negative
3,"Great visuals, but the plot didn’t make much sense to me.",neutral
4,An outstanding performance by the lead actor. Truly inspiring work.,positive
5,Terrible experience. The screenplay was weak and dialogues were awful.,negative
6,This movie exceeded my expectations. Well directed and emotionally strong.,positive
7,"Not bad, but it could have been much better with tighter editing.",neutral
8,Amazing soundtrack and cinematography. The story was decent.,positive
9,I wouldn’t recommend this movie. It lacked originality and depth.,negative
10,A masterpiece! One of the best films I have seen in recent years.,positive
11,"The pacing was slow, but the performances kept me interested.",neutral
12,Poor character development ruined what could have been a good movie.,negative
13,An entertaining watch with a few predictable moments.,neutral
14,"The movie had potential, but the execution was disappointing.",negative
15,Fantastic storytelling and strong emotional connection throughout the film.,positive
